"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Population ages 15-64, total","SP.POP.1564.TO","29759","30466","30940","31424","31924","32437","32952","33384","33688","33912","34083","34224","34636","35432","36373","37332","38187","38894","39496","40005","40396","40636","40959","41440","41898","42319","42671","42917","43092","43336","43821","44644","46002","47864","49909","52075","54305","56452","58508","60477","62215","63457","64311","65073","65794","66476","67133","67787","68443","69102","69879","70693","71335","71805","72123","72305","72392","72417","72394","72341","72171","72080","",
"Africa Eastern and Southern","AFE","Population ages 15-64, total","SP.POP.1564.TO","69041513","70788350","72615478","74478562","76422061","78429991","80453705","82547932","84746519","87019108","89344932","91732295","94155168","96732645","99546884","102460474","105412599","108392294","111682244","115213050","118687166","122301871","126117808","129999875","133985781","138129718","142426539","146799760","151005889","155236603","159708130","164109601","168346796","172715056","177528438","182651309","187707921","192767168","198160752","203968139","210007253","216281583","222764607","229402950","236235364","243212253","250405638","257869813","265531774","273356495","281449242","289763233","298315871","307256873","316539456","326346535","336114740","345897532","356289412","367127202","378423330","389954788","",
"Afghanistan","AFG","Population ages 15-64, total","SP.POP.1564.TO","4788899","4877387","4971702","5067343","5162530","5255725","5347305","5442953","5544011","5649463","5761195","5875339","5993595","6120994","6250852","6376579","6491903","6603844","6710175","6711038","6430939","5726741","5163712","5081674","5219865","5345522","5301692","5226926","5246397","5380687","5377229","5384510","6019621","6964546","7651708","8087000","8379675","8665271","8959026","9284531","9380032","9420854","10031307","10811839","11254197","11738147","12331417","12433299","12630067","13239481","13722048","14437898","15286716","16000570","16802817","17485014","18038552","18706224","19401609","20127704","20957369","21722439","",
"Africa Western and Central","AFW","Population ages 15-64, total","SP.POP.1564.TO","53856591","54896072","55946723","56987671","57977426","59032683","60196798","61393620","62634012","63919399","65271502","66669672","68112850","69641338","71257131","72961104","74725715","76570419","78496126","80482660","82501189","84566639","86737381","88789044","90759689","92893448","95173863","97623947","100324441","103216847","106075597","109045275","112285800","115612991","119010977","122607684","126295973","130058066","133988749","137956528","141976032","146074055","150269972","154614426","159101020","163687235","168325918","173075614","177965662","183011148","188197656","193516068","198893036","204408747","210271137","216382227","222753060","229432321","236311849","243372034","250733732","258324761","",
"Angola","AGO","Population ages 15-64, total","SP.POP.1564.TO","2929489","2947964","2961986","2973027","2977902","2979781","2979149","2974713","2972783","2984176","3016293","3078554","3177354","3297878","3425952","3557944","3692342","3834326","3985406","4141958","4305938","4475608","4649566","4827914","5007427","5186536","5363036","5533925","5706137","5885334","6070230","6259500","6451763","6645549","6848699","7072670","7314252","7568942","7832100","8101048","8382476","8678285","8988627","9317374","9665698","10028973","10405837","10798883","11205663","11626985","12069114","12532842","13014212","13510168","14019670","14540242","15083377","15651045","16229250","16823353","17417386","18020088","",
"Albania","ALB","Population ages 15-64, total","SP.POP.1564.TO","860262","880985","901816","923218","946272","971355","998344","1027517","1061209","1098019","1133706","1170473","1210344","1251182","1293783","1338552","1384060","1431424","1478214","1524705","1572194","1618587","1666404","1714016","1760965","1806483","1849298","1892829","1933503","1989469","2027747","2016781","2004866","1992321","1979487","1966765","1955476","1946725","1940715","1936964","1934786","1928110","1934852","1940739","1946550","1951717","1955295","1956736","1957585","1959562","1963578","1969436","1974096","1975006","1972967","1967517","1962501","1958423","1951044","1937930","1921404","1897426","",
"Andorra","AND","Population ages 15-64, total","SP.POP.1564.TO","6261","6761","7275","7804","8348","8913","9525","10229","11022","11889","12837","13860","14951","16109","17319","18557","19811","21073","22323","23555","24780","26019","27309","28647","30006","31376","32826","34363","35910","37445","38959","40463","41960","43434","44876","46281","47067","47233","47362","47476","47593","48829","51195","53592","56003","58398","58718","57020","55375","53732","52106","51344","51422","51472","51536","51591","52153","53251","54305","55337","56310","57212","",
"Arab World","ARB","Population ages 15-64, total","SP.POP.1564.TO","49487827","50529531","51650903","52837888","54090817","55402019","56784552","58275466","59881925","61576420","63318316","65110892","66966069","68913239","71017058","73280384","75846907","78580934","81227034","84156088","87336304","90387633","93483556","96743736","100044188","103351651","106760610","110201158","113492766","116876845","120979303","124265568","128144298","132459561","137034544","141541571","146156203","150949082","155861237","160887854","166058256","171276260","176537278","181829483","187189293","193054832","199734960","206996240","214207746","221083310","227277696","232457821","237401669","242565569","247656591","252726179","258019097","263472739","269188279","274995997","279876708","284583116","",
"United Arab Emirates","ARE","Population ages 15-64, total","SP.POP.1564.TO","78903","84562","90358","96207","102053","107876","113653","119349","134749","163693","197544","233316","270406","308409","346893","385366","438571","507921","579348","652000","724625","778863","816471","856110","896934","938948","994188","1065848","1144560","1228639","1316521","1406815","1498352","1590416","1682911","1776926","1892118","2034621","2189576","2352561","2519637","2687280","2852993","3016135","3177457","3434333","3998830","4901766","5940565","6872266","7301044","7347025","7400710","7460078","7521502","7580093","7631041","7671386","7700679","7720914","7746067","7782300","",
"Argentina","ARG","Population ages 15-64, total","SP.POP.1564.TO","12965535","13176121","13394503","13615471","13835405","14055783","14280490","14508168","14737169","14965958","15195871","15423441","15650035","15876561","16099628","16308622","16500499","16690749","16883360","17078449","17277739","17487215","17709171","17941558","18182747","18433237","18697164","18974613","19265877","19568547","19875164","20181842","20491031","20804279","21122391","21442645","21761082","22075914","22388268","22700886","23012751","23325364","23640531","23956353","24273923","24597633","24926184","25253207","25581439","25914190","26042007","26389676","26719164","27038106","27356930","27672739","27986612","28304390","28630919","28967430","29320716","29693851","",
"Armenia","ARM","Population ages 15-64, total","SP.POP.1564.TO","1065003","1084104","1110028","1141666","1176181","1213050","1252477","1293679","1336979","1382568","1429922","1479701","1533590","1591875","1654160","1719660","1785020","1848668","1911643","1965237","2003188","2033269","2060425","2084784","2106181","2125242","2142880","2158898","2168513","2226061","2295587","2323527","2275848","2177798","2110297","2072659","2059711","2047301","2037893","2032635","2028347","2023610","2020464","2020686","2023892","2030355","2039899","2052254","2064467","2072039","2073112","2067618","2057353","2043485","2026872","2006933","1983725","1958831","1933718","1908739","1886737","1865265","",
"American Samoa","ASM","Population ages 15-64, total","SP.POP.1564.TO","9725","10081","10499","10905","11295","11685","12064","12439","12836","13268","13705","14110","14493","14863","15238","15661","16138","16635","17140","17655","18286","19066","19907","20781","21687","22617","23568","24527","25492","26464","27284","27901","28471","29045","29630","30219","30810","31411","32006","32588","32997","33167","33248","33301","33351","33435","33542","33645","33710","33691","33669","33647","33521","33300","33003","32646","32236","31783","31297","30760","30184","29563","",
"Antigua and Barbuda","ATG","Population ages 15-64, total","SP.POP.1564.TO","30736","31198","31501","31766","31892","31937","32040","32181","32383","32673","33130","33594","33891","34129","34407","34783","35257","35806","36391","36980","37555","38106","38634","39143","39495","39562","39480","39355","39179","38957","38733","39088","40082","41133","42175","43250","44344","45465","46598","47701","48744","49724","50669","51588","52527","53566","54658","55782","56946","58105","59233","60310","61317","62205","62954","63659","64268","64742","65183","65573","65896","66173","",
"Australia","AUS","Population ages 15-64, total","SP.POP.1564.TO","6292375","6417818","6589642","6733296","6882453","7038353","7223348","7341981","7502007","7683920","7854797","8142939","8312505","8465462","8716702","8863079","8994679","9140881","9288752","9425006","9569000","9744907","9942754","10112198","10271131","10448204","10640853","10839764","11043284","11245929","11415078","11549946","11664387","11754306","11858713","11989636","12140698","12282166","12417030","12568636","12729175","12909312","13076482","13247817","13407531","13587612","13785404","14049608","14342140","14637328","14844429","15010632","15217504","15420332","15593448","15760132","15950251","16166021","16365890","16569868","16733580","16712026","",
"Austria","AUT","Population ages 15-64, total","SP.POP.1564.TO","4633265","4617690","4615737","4620920","4619535","4615259","4614238","4615958","4609383","4598618","4597890","4611662","4640698","4676463","4694173","4692362","4707837","4741844","4772679","4802105","4846328","4914857","4979548","5033355","5082055","5109326","5122590","5127529","5130120","5148524","5185162","5232760","5284193","5319765","5330400","5330655","5336622","5347896","5362014","5383919","5411062","5448046","5491630","5532119","5561678","5577847","5587256","5598503","5616074","5629260","5648587","5675763","5696737","5719020","5753902","5812079","5866325","5893061","5906977","5918009","5925020","5926351","",
"Azerbaijan","AZE","Population ages 15-64, total","SP.POP.1564.TO","2117537","2138015","2153874","2184304","2234676","2288852","2349004","2411103","2477595","2551401","2630556","2719209","2815403","2917254","3025569","3137636","3257870","3384785","3509347","3619922","3717330","3816488","3907709","3992855","4073600","4142664","4204463","4261248","4308814","4344766","4379814","4425539","4480951","4538789","4601677","4671653","4746739","4829451","4920011","5013501","5109845","5209603","5310291","5413099","5525064","5648279","5776611","5905867","6092006","6272038","6385040","6489844","6578456","6650675","6711491","6764283","6811714","6857549","6904446","6951369","6994975","7031387","",
"Burundi","BDI","Population ages 15-64, total","SP.POP.1564.TO","1428375","1463447","1498656","1523236","1566713","1614113","1658365","1705522","1748202","1784378","1820679","1865288","1841986","1818985","1872125","1920750","1960563","2012198","2074989","2120967","2230750","2335414","2375980","2425996","2466858","2498287","2519351","2561217","2601462","2630444","2668427","2710798","2788533","2580828","2587647","2870539","2840833","2819460","2906869","3020979","3114122","3228115","3355274","3498292","3672749","3842032","3999697","4160877","4354067","4601145","4818278","4966145","5114316","5266391","5412142","5462539","5473327","5568790","5754654","5990972","6209464","6430031","",
"Belgium","BEL","Population ages 15-64, total","SP.POP.1564.TO","5889316","5886018","5893426","5924102","5963608","5998484","6020767","6039466","6057818","6074963","6081952","6096517","6128002","6161837","6204402","6250495","6293685","6331230","6364225","6399672","6442076","6487538","6537760","6590223","6629738","6646669","6651137","6654808","6666199","6674483","6673010","6673807","6679959","6689623","6697475","6698372","6697743","6701076","6705137","6713345","6723820","6743920","6774608","6805014","6836408","6881331","6944194","7013018","7073628","7123379","7176760","7249661","7267828","7277628","7285273","7306314","7325397","7333843","7346245","7366035","7384578","7407296","",
"Benin","BEN","Population ages 15-64, total","SP.POP.1564.TO","1396607","1412722","1428389","1442783","1454000","1467741","1486863","1507182","1528898","1552022","1576597","1602803","1630944","1661224","1693780","1728953","1767431","1809287","1854123","1901782","1952106","2005020","2060310","2118012","2178179","2240944","2306725","2375656","2447482","2522690","2601523","2683599","2768890","2924842","3048017","3088773","3163742","3261986","3371766","3487122","3606758","3730128","3857165","3987921","4121820","4270093","4414563","4550231","4697712","4855367","5018750","5182561","5348799","5517939","5694681","5876198","6059293","6247970","6443462","6645752","6852380","7063242","",
"Burkina Faso","BFA","Population ages 15-64, total","SP.POP.1564.TO","2747408","2784842","2820311","2848908","2872365","2898070","2926020","2955791","2987939","3021621","3057279","3092800","3128867","3167896","3211487","3260229","3314439","3377205","3446377","3519457","3598044","3680175","3765504","3857582","3954746","4052763","4147987","4240757","4335593","4434634","4539006","4642117","4747490","4864310","4992774","5130974","5272892","5421378","5593659","5789949","5999424","6221808","6454255","6692664","6935961","7182028","7424317","7655353","7875966","8098235","8328092","8570848","8833680","9108761","9397743","9703705","10024653","10357389","10694927","11040724","11407221","11793330","",
"Bangladesh","BGD","Population ages 15-64, total","SP.POP.1564.TO","27580799","28283605","29006832","29713769","30404573","31136766","31915005","32732195","33582627","34411530","35166177","35460980","35793839","36608767","37466310","38384750","39321545","40270986","41248866","42210450","43208765","44318734","45563067","46920954","48343108","49787346","51237943","52723265","54260481","55824497","57447194","59072788","60732893","62491456","64330045","66209208","68086718","70033213","72044989","74085380","76134099","78139758","80071880","81921372","83745577","85497651","86933413","88216600","89351100","90580787","92256484","94116706","96129495","98276729","100454049","102575958","104744797","106941690","108985072","110894720","112816371","114687891","",
"Bulgaria","BGR","Population ages 15-64, total","SP.POP.1564.TO","5229328","5291243","5354518","5416396","5474638","5522389","5561288","5597872","5633284","5663500","5685679","5704263","5719726","5733707","5748139","5751074","5755282","5768475","5760932","5757488","5777551","5800762","5826257","5858016","5889929","5896856","5890643","5889240","5888590","5818762","5717728","5670017","5622831","5592672","5591744","5587864","5580058","5568563","5553373","5537362","5521592","5427238","5327942","5305099","5283071","5256073","5220366","5176982","5129121","5076737","5015444","4948648","4881414","4814205","4751668","4693084","4635204","4577516","4519501","4463647","4418066","4373155","",
"Bahrain","BHR","Population ages 15-64, total","SP.POP.1564.TO","87737","90748","93782","96848","100001","102704","104941","107392","110186","113295","116653","122251","131079","141399","152443","164065","176064","188259","200540","212842","225106","236264","246217","256230","266610","277302","288230","299236","310135","320827","331351","342500","355032","368847","383670","399308","415752","432988","450671","468325","485650","502617","519452","547197","597277","659164","721560","784181","847025","910042","939534","936359","950784","980619","1011194","1046911","1085892","1125298","1149269","1150279","1130322","1114044","",
"Bahamas, The","BHS","Population ages 15-64, total","SP.POP.1564.TO","63116","66181","69452","72903","76183","79319","82553","85780","89078","92540","96365","100198","103596","106798","110131","113801","117862","122242","126782","131331","135778","139744","143322","146906","150304","153626","157109","160689","164374","168171","172109","176173","180261","184171","187886","191717","195678","199611","203552","207468","211553","215637","219413","223145","226968","230842","234771","238826","242945","246947","251619","256712","261229","265486","269650","273695","277677","281561","285172","288381","290849","292916","",
"Bosnia and Herzegovina","BIH","Population ages 15-64, total","SP.POP.1564.TO","1878686","1906230","1937135","1971903","2009902","2050794","2094512","2141053","2190074","2240227","2290080","2338474","2385024","2430712","2476973","2524214","2572229","2620521","2668880","2717272","2765443","2812827","2858867","2902929","2943855","2980834","3013929","3042883","3066553","3084388","3096906","3103165","2906731","2622671","2471532","2468283","2614582","2744855","2811308","2852730","2885013","2907936","2919860","2915328","2886948","2853534","2832833","2801385","2756407","2708940","2662776","2618068","2572078","2531636","2494930","2454005","2412441","2369660","2324768","2279522","2234386","2189487","",
